action,idnumber,username,password,email,firstname,lastname,city, country, MenuOne, mi, email2,address, address2, state, phone,phone2, fax, postalcode, birthdate, gender, language, transfercredits, comments, notes, inactive, theme, auth
add, student0,student0,Student0+, olav.jordan+s00@gmail.com,Student,zero,Waterloo,CA,three, a, olav.jordan+s10@gmail.com, 1231 fakea st., 299a Northfield dr., ND, 5175551234,5165551234,5165651234,n2n2n4, april 30, f, en_utf8, 3, this is super cool, this works, 0, chameleon, elisIP
add, student1,student1,Student1+, olav.jordan+s01@gmail.com,Student,one,Toronto,CA,one, b,olav.jordan+s20@gmail.com,1232 fakeb st., 299b Northfield dr., TX, 5195551254,5175551244,5165551274,n2n3n4, april 30 , f, en_utf8, 3, does this work, how big can notes be?, 0, cornflower, elisIP
add, student2,student2,Student2+, olav.jordan+s02@gmail.com,Student,two,Woolerton,CA,two, c,olav.jordan+s30@gmail.com ,1233 fakec st., 299c Northfield dr., FL, 5195559234,5175561234,5165581234,n2n5n4,april 30 , v, en_utf8,, asdfasd sdf, sdlkfj , 0, custom_corners, elisIP
add, student3,student3,Student3+, olav.jordan+s03@gmail.com,Student,three, Rouleau,CA,three, d, olav.jordan+s40@gmail.com,1234 faked st., 299d Northfield dr.,FL, 5195751234,5177551234,5169551234,,april 30 , e,, ,asdfoiweur, qklw er kljwekr, 0,formal_white, elisIP
add, student4,student4,Student4+, olav.jordan+s04@gmail.com,Student,four,Sarnia,CA,four,e,olav.jordan+s50@gmail.com,1235 fakee st., 299e Northfield dr., FL, 5195551224,5175551284,,n2n4n6,april 30 , f,,, lorem ipsum, eat your heart out, 0,metal, elisIP
add, student5,student5,Student5+, olav.jordan+s05@gmail.com,Student,five,Dog River,CA,five,f,olav.jordan+s60@gmail.com,, 299f Northfield dr., FL, 5195551244,5175551284,,n2n4n7,,,,,,,,oceanblue, elisIP
add, student6,student6,Student6+, olav.jordan+s06@gmail.com,Student,six,Chicago,US,six,g ,olav.jordan+s70@gmail.com,1236 fakef st., 299g Northfield dr., FL, 5165551234,5175551264,5165551204,,,,,,,,,orangewhite, elisIP
add, student7,student7,Student7+, olav.jordan+s07@gmail.com,Student,seven,Kitchener,CN,seven,h ,,,, FL, 5195551234,,,n2n4n8,april 30 ,,, 3,,,,, elisIP
add, student8,student8,Student8+, olav.jordan+s08@gmail.com,Student,eight,Winipeg,GB,eight,,,1237 fakeg st.,, FL, 5195551234,,,n2n4n9,april 30 ,,,,,,,orangewhitepda, elisIP
add, student9,student9,Student9+, olav.jordan+s09@gmail.com,Student,nine,Washington,US,nine,,olav.jordan+s80@gmail.com ,1238 fakeh st., 299h Northfield dr., FL,,,5165551230,,,,,,,,,rl2008_184,
add, teacher0,teacher0,Teacher0+, olav.jordan+t00@gmail.com,Teacher,zero,Waterloo,CA,ten,  ,,1239 fakei st., 299i Northfield dr., FL,,,,n2n4n0,, m,, 4,sdfgs sdfg,, 0,standard, elisIP
add, teacher1,teacher1,Teacher1+, olav.jordan+t01@gmail.com,Teacher,one,Cambridge,GB,ten, i,olav.jordan+t100@gmail.com,1230 fakej st.,,,,5175951234,5195551234,n2n4n1,april 30 , m,,5,,, 0,standardblue, manual
add, teacher2,teacher2,Teacher2+, olav.jordan+t02@gmail.com,Teacher,two,Brantford,CN,three,j,,12311 fakek st., 299j Northfield dr.,,,5175551284,,,april 30 , m,,8,,,,standardgreen, elisIP
add, teacher3,teacher3,Teacher3+, olav.jordan+t03@gmail.com,Teacher,three,New York,US,eight,k,olav.jordan+t200@gmail.com,12312 fakel st., 299k Northfield dr.,,,5175551204,5165551214,,april 30 ,, en_utf8,1,,,1,wood, elisIP
add, teacher4,teacher4,Teacher4+, olav.jordan+t04@gmail.com,TSeacher,four,Brampton,CA,four,l,olav.jordan+t300@gmail.com,12313 fakem st., 299l Northfield dr.,,,,,,,,,,,,,,
